Country Name,Code,income,education,GDP growth,GDP,gini,gni,educational expenditure,inflation,elderly,population density,undernourishment,unemployment
,,Adjusted net national income per capita (constant 2015 US$),"Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)",GDP per capita growth (annual %),"GDP per capita, PPP (current international $)",Gini index,"GNI, PPP (current international $)","Government expenditure on education, total (% of government expenditure)","Inflation, consumer prices (annual %)",Population ages 65 and above (% of total population),Population density (people per sq. km of land area),Prevalence of undernourishment (% of population),"Unemployment, total (% of total labor force) (national estimate)"
Madagascar,MDG,393.2997057,..,1.663182479,1686.842064,..,44035015006,17.95279121,5.610514415,3.044064128,46.35494328,47.4,..
Malawi,MWI,..,..,2.699812282,1602.01559,38.5,29346139391,14.59023952,9.370836056,2.642024179,197.589616,17.6,..
Malaysia,MYS,8071.010888,22.55147934,3.06077626,29620.97866,..,9.22E+11,17.68560028,0.662891866,6.920771309,97.24483032,2.6,3.25999999
Maldives,MDV,6773.039846,..,3.813201205,20333.92415,29.3,9718623553,12.05595016,0.220029731,3.641000239,1769.856667,..,4.559999943
Mali,MLI,649.4221311,..,1.663955253,2419.688689,..,45651990408,14.63601494,-1.658266948,2.495127818,16.11062457,5.6,..
Malta,MLT,..,..,1.780103596,47407.88079,31,22133320166,..,1.642060018,20.81717275,1575.19375,2.5,3.619999886
Marshall Islands,MHL,..,..,5.957171986,4218.936639,35.5,305356286.8,24.80999947,..,..,326.6166667,..,..
Mauritania,MRT,1623.622908,..,2.899922064,5569.539163,..,24898623810,10.22801971,2.300092621,3.156243813,4.390897448,9.2,..
Mauritius,MUS,10328.69982,..,2.979170025,23834.965,..,33768762515,18.67692947,0.40565519,11.99872723,623.5029557,7.2,6.329999924
Mexico,MEX,7830.560385,..,-1.269321979,19862.5632,..,2.46E+12,..,3.635961421,7.416660604,65.62696006,6,3.480000019
"Micronesia, Fed. Sts.",FSM,..,..,0.133804334,3611.363949,..,457148334,18.10730934,1.539071461,4.192768967,162.5871429,..,..
